Sat Nov 25 17:15:14 2023    DeepLake_mnist.prof

         2855380 function calls (2806286 primitive calls) in 83.796 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      160    0.010    0.000   74.813    0.468 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/urllib3/connectionpool.py:534(urlopen)
      160    0.008    0.000   74.709    0.467 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/urllib3/connectionpool.py:379(_make_request)
      156    0.002    0.000   68.313    0.438 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/botocore/client.py:526(_api_call)
      156    0.008    0.000   68.310    0.438 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/botocore/client.py:907(_make_api_call)
      156    0.001    0.000   68.072    0.436 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/botocore/client.py:984(_make_request)
      156    0.002    0.000   68.071    0.436 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/botocore/endpoint.py:113(make_request)
      156    0.002    0.000   68.069    0.436 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/botocore/endpoint.py:194(_send_request)
      156    0.003    0.000   67.852    0.435 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/botocore/endpoint.py:235(_get_response)
      156    0.006    0.000   67.842    0.435 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/botocore/endpoint.py:263(_do_get_response)
      156    0.001    0.000   67.712    0.434 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/botocore/endpoint.py:376(_send)
      156    0.008    0.000   67.712    0.434 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/botocore/httpsession.py:447(send)
     1618    0.004    0.000   53.256    0.033 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/socket.py:690(readinto)
     1618    0.004    0.000   53.249    0.033 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/ssl.py:1230(recv_into)
     1618    0.003    0.000   53.245    0.033 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/ssl.py:1090(read)
     1618   53.242    0.033   53.242    0.033 {method 'read' of '_ssl._SSLSocket' objects}
      160    0.002    0.000   51.975    0.325 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/http/client.py:1305(getresponse)
      160    0.006    0.000   51.968    0.325 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/http/client.py:309(begin)
     1941    0.004    0.000   51.909    0.027 {method 'readline' of '_io.BufferedReader' objects}
      161    0.006    0.000   51.878    0.322 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/http/client.py:276(_read_status)
      360    0.001    0.000   39.967    0.111 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/dataset/dataset.py:318(__exit__)
       57    0.001    0.000   37.710    0.662 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/storage/s3.py:163(__setitem__)
       57    0.001    0.000   37.707    0.662 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/storage/s3.py:155(_set)
       10    0.000    0.000   37.021    3.702 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/util/spinner.py:145(inner)
       19    0.001    0.000   37.013    1.948 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/storage/lru_cache.py:90(flush)
       54    0.000    0.000   37.002    0.685 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/storage/lru_cache.py:380(_forward)
       54    0.001    0.000   37.001    0.685 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/storage/lru_cache.py:385(_forward_value)
 2468/704    0.004    0.000   26.719    0.038 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/util/invalid_view_op.py:9(inner)
       47    0.000    0.000   20.308    0.432 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/storage/s3.py:207(__getitem__)
       47    0.001    0.000   20.308    0.432 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/storage/s3.py:238(get_bytes)
