Sat Nov 25 17:42:52 2023    EvaDB_mnist.prof

         47266510 function calls (46738220 primitive calls) in 16.873 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      758    0.000    0.000   15.202    0.020 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/executor/plan_executor.py:168(execute_plan)
      352    0.000    0.000   14.711    0.042 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/interfaces/relational/relation.py:104(df)
      352    0.001    0.000   14.711    0.042 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/interfaces/relational/relation.py:114(execute)
      352    0.004    0.000   14.691    0.042 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/interfaces/relational/utils.py:54(execute_statement)
     2519    0.001    0.000    9.004    0.004 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/database.py:35(catalog)
     2519    0.004    0.000    9.002    0.004 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/catalog/catalog_utils.py:320(get_catalog_instance)
     2519    0.017    0.000    8.989    0.004 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/catalog/catalog_manager.py:70(__init__)
      700    0.002    0.000    7.245    0.010 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/executor/load_executor.py:27(exec)
       37    0.001    0.000    7.167    0.194 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/executor/project_executor.py:31(exec)
      700    0.007    0.000    7.146    0.010 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/executor/load_multimedia_executor.py:47(exec)
       37    0.006    0.000    6.758    0.183 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/executor/predicate_executor.py:31(exec)
     3298    0.021    0.000    5.558    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/yaml/__init__.py:74(load)
     3298    0.003    0.000    5.445    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/yaml/constructor.py:47(get_single_data)
     1451    0.001    0.000    5.350    0.004 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/executor/abstract_executor.py:42(catalog)
     3298    0.005    0.000    5.164    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/yaml/composer.py:29(get_single_node)
     2519    0.008    0.000    5.157    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/catalog/sql_config.py:49(__call__)
     2519    0.037    0.000    5.142    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/catalog/sql_config.py:59(__init__)
     2909    0.009    0.000    5.079    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/utils/generic_utils.py:196(parse_config_yml)
     3298    0.003    0.000    5.026    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/yaml/composer.py:50(compose_document)
