Sat Nov 25 19:40:01 2023    DeepLake_mnist.prof

         93404679 function calls (91358742 primitive calls) in 36.077 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
112005/28001    0.132    0.000   22.680    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/util/invalid_view_op.py:9(inner)
    28000    0.036    0.000   22.626    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/dataset/dataset.py:3218(append)
    28000    0.144    0.000   21.425    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/dataset/dataset.py:3023(_append_or_extend)
    28000    0.010    0.000   19.613    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/tensor.py:427(_append)
112000/28000    0.202    0.000   19.602    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/tensor.py:305(_extend)
112000/28000    0.155    0.000   19.374    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/chunk_engine.py:1157(extend)
   112000    0.152    0.000   13.808    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/chunk_engine.py:1040(_extend)
        1    0.000    0.000   13.146   13.146 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/dataset/dataset.py:2225(filter)
        1    0.000    0.000   13.144   13.144 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/query/filter.py:62(filter_dataset)
        1    0.023    0.023   13.143   13.143 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/query/filter.py:272(filter_inplace)
   112000    0.684    0.000   11.600    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/chunk_engine.py:773(_samples_to_chunks)
    28000    0.172    0.000   11.568    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/transform/transform.py:121(__call__)
    28000    0.116    0.000   11.396    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/Mnist/DeepLake_UDFilter.py:146(filter_labels)
    28000    0.016    0.000    9.857    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/chunk_engine.py:1075(_extend_link_callback)
    28000    0.246    0.000    9.842    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/tensor.py:1085(_extend_links)
    28001    0.086    0.000    8.546    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/chunk/sample_compressed_chunk.py:17(extend_if_has_space)
    56002    0.092    0.000    7.993    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/chunk/base_chunk.py:294(serialize_sample)
