Sat Nov 25 19:37:45 2023    DeepLake_mnist.prof

         5665680 function calls (5560503 primitive calls) in 5.666 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.666    3.666 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/dataset/dataset.py:2286(query)
        1    0.011    0.011    3.666    3.666 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/enterprise/libdeeplake_query.py:9(query)
        1    0.253    0.253    3.654    3.654 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/enterprise/convert_to_libdeeplake.py:149(dataset_to_libdeeplake)
      6/3    0.000    0.000    3.402    1.134 <frozen importlib._bootstrap>:1002(_find_and_load)
      6/3    0.000    0.000    3.402    1.134 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      6/3    0.000    0.000    3.402    1.134 <frozen importlib._bootstrap>:659(_load_unlocked)
      5/3    0.000    0.000    3.402    1.134 <frozen importlib._bootstrap_external>:844(exec_module)
      8/3    0.000    0.000    3.401    1.134 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      5/3    0.000    0.000    3.401    1.134 {built-in method builtins.exec}
        1    0.000    0.000    3.400    3.400 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/enterprise/convert_to_libdeeplake.py:34(import_indra_api)
        1    0.000    0.000    3.400    3.400 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/enterprise/convert_to_libdeeplake.py:19(import_indra_api_silent)
       10    0.000    0.000    3.400    0.340 <frozen importlib._bootstrap>:1033(_handle_fromlist)
        1    0.000    0.000    3.400    3.400 {built-in method builtins.__import__}
        1    0.000    0.000    3.399    3.399 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/indra/api/__init__.py:1(<module>)
        6    0.000    0.000    3.399    0.567 <frozen importlib._bootstrap>:558(module_from_spec)
        1    0.000    0.000    3.399    3.399 <frozen importlib._bootstrap_external>:1171(create_module)
        1    0.093    0.093    3.399    3.399 {built-in method _imp.create_dynamic}
        1    0.000    0.000    3.306    3.306 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/client/client.py:56(__init__)
        1    0.000    0.000    3.306    3.306 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/client/client.py:405(get_user_organizations)
        1    0.000    0.000    3.303    3.303 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/client/client.py:94(request)
        1    0.000    0.000    3.303    3.303 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/requests/api.py:14(request)
        1    0.000    0.000    3.303    3.303 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/requests/sessions.py:502(request)
        1    0.000    0.000    3.055    3.055 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/requests/sessions.py:751(merge_environment_settings)
        1    0.000    0.000    3.055    3.055 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/requests/utils.py:824(get_environ_proxies)
        1    0.000    0.000    3.054    3.054 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/requests/utils.py:764(should_bypass_proxies)
        1    0.000    0.000    3.054    3.054 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/urllib/request.py:2636(proxy_bypass)
        1    0.000    0.000    3.054    3.054 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/urllib/request.py:2622(proxy_bypass_macosx_sysconf)
        1    0.000    0.000    3.053    3.053 /Library/Developer/CommandLineTools/Library/Frameworks/Python3.framework/Versions/3.9/lib/python3.9/urllib/request.py:2554(_proxy_bypass_macosx_sysconf)
        1    3.053    3.053    3.053    3.053 {built-in method _socket.gethostbyname}
8409/2402    0.010    0.000    1.143    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/util/invalid_view_op.py:9(inner)
8400/2400    0.016    0.000    0.997    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/tensor.py:305(_extend)
8400/2400    0.012    0.000    0.976    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/chunk_engine.py:1157(extend)
