Sat Nov 25 19:43:04 2023    DeepLake_mnist.prof

         4052220 function calls (3962698 primitive calls) in 1.488 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
4805/1201    0.006    0.000    0.863    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/util/invalid_view_op.py:9(inner)
     1200    0.002    0.000    0.860    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/dataset/dataset.py:3218(append)
     1200    0.007    0.000    0.807    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/dataset/dataset.py:3023(_append_or_extend)
     1200    0.000    0.000    0.728    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/tensor.py:427(_append)
4800/1200    0.009    0.000    0.728    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/tensor.py:305(_extend)
4800/1200    0.007    0.000    0.718    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/chunk_engine.py:1157(extend)
        1    0.000    0.000    0.568    0.568 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/dataset/dataset.py:2225(filter)
        1    0.000    0.000    0.567    0.567 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/query/filter.py:62(filter_dataset)
        1    0.001    0.001    0.567    0.567 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/query/filter.py:272(filter_inplace)
     1200    0.007    0.000    0.498    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/transform/transform.py:121(__call__)
     1200    0.005    0.000    0.491    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/Mnist/DeepLake_UDFilter.py:146(filter_labels)
     4800    0.006    0.000    0.470    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/chunk_engine.py:1040(_extend)
     1200    0.001    0.000    0.437    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/deeplake/core/chunk_engine.py:1075(_extend_link_callback)
