Sat Nov 25 19:05:26 2023    EvaDB_mnist.prof

         4748971236 function calls (4694369683 primitive calls) in 1707.053 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    42002    0.023    0.000 1695.167    0.040 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/interfaces/relational/relation.py:104(df)
    42002    0.116    0.000 1695.140    0.040 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/interfaces/relational/relation.py:114(execute)
    42002    0.502    0.000 1692.694    0.040 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/interfaces/relational/utils.py:54(execute_statement)
    88163    0.056    0.000 1674.101    0.019 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/executor/plan_executor.py:168(execute_plan)
   298174    0.171    0.000 1046.442    0.004 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/database.py:35(catalog)
   298174    0.501    0.000 1046.270    0.004 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/catalog/catalog_utils.py:320(get_catalog_instance)
   298174    1.845    0.000 1045.760    0.004 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/catalog/catalog_manager.py:70(__init__)
    84000    0.253    0.000  885.389    0.011 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/executor/load_executor.py:27(exec)
    84000    0.844    0.000  884.931    0.011 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/executor/load_multimedia_executor.py:47(exec)
     4142    0.036    0.000  787.701    0.190 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/executor/project_executor.py:31(exec)
     4142    0.442    0.000  746.361    0.180 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/executor/predicate_executor.py:31(exec)
   390463    2.414    0.000  661.612    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/yaml/__init__.py:74(load)
   390463    0.329    0.000  649.050    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/yaml/constructor.py:47(get_single_data)
   390463    0.552    0.000  616.031    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/yaml/composer.py:29(get_single_node)
   298174    0.921    0.000  607.225    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/catalog/sql_config.py:49(__call__)
   298174    3.942    0.000  605.588    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/catalog/sql_config.py:59(__init__)
   172156    0.111    0.000  604.528    0.004 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/executor/abstract_executor.py:42(catalog)
   344319    0.978    0.000  604.325    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/utils/generic_utils.py:196(parse_config_yml)
   390463    0.343    0.000  600.020    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/yaml/composer.py:50(compose_document)
14837594/390463   15.734    0.000  598.758    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/yaml/composer.py:63(compose_node)
2342778/390463    7.925    0.000  592.905    0.002 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/yaml/composer.py:117(compose_mapping_node)
 45684171   14.593    0.000  558.635    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/yaml/parser.py:94(check_event)
119091215   37.914    0.000  442.518    0.000 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/yaml/scanner.py:113(check_token)
   298174    0.291    0.000  403.799    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/catalog/catalog_manager.py:105(_bootstrap_catalog)
   298174    0.507    0.000  403.258    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/catalog/models/utils.py:55(init_db)
   298174    0.360    0.000  341.940    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/sqlalchemy/sql/schema.py:5804(create_all)
   298176    0.532    0.000  341.581    0.001 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/sqlalchemy/engine/base.py:3236(_run_ddl_visitor)
    42001    0.442    0.000  332.537    0.008 /Users/yuchenlin/Desktop/Database Implementation /EvaDB 2/evadb-venv/lib/python3.9/site-packages/evadb/executor/seq_scan_executor.py:38(exec)
